Organism,Scientific name (simplified),Common_name,Refrence ID,RefSeq/Link,Genome,PMID/Publication,Family,Genus,Subgenus,Section,Species,Subspecies,Cultivar,Variety
Capsicum annuum cv. CM334,Capsicum annuum,Hot pepper,GCA_000512255.2,GCA_000512255.2,ASM51225v2_protein,,Solanaceae,Capsicum,,,annuum,,cv. CM334,
Capsicum annuum cv. ECW,Capsicum annuum,Hot pepper,GCA_011745845.1,GCA_011745845.1,SNU_ECW_1.0_protein,,Solanaceae,Capsicum,,,annuum,,cv. ECW,
Capsicum annuum cv. SF,Capsicum annuum,Hot pepper,GCA_011745865.1,GCA_011745865.1,SNU_SF_1.0_protein,,Solanaceae,Capsicum,,,annuum,,cv. SF,
Capsicum annuum cv. UCD-10X-F1,Capsicum annuum,Hot pepper,GCF_002878395.1,GCF_002878395.1,UCD10Xv1.1,,Solanaceae,Capsicum,,,annuum,,cv. UCD-10X-F1,
Capsicum annuum var. glabriusculum,Capsicum annuum,Chiltepe,CaChiltepin,https://solgenomics.net/ftp/genomes/Capsicum_annuum/C.annuum_glabriusculum/,CaChiltepin,https://doi.org/10.1073/pnas.1400975111,Solanaceae,Capsicum,,,annuum,,var. glabriusculum,
Capsicum baccatum cv. PBC81,Capsicum baccatum,Chili pepper,GCA_002271885.2,GCA_002271885.2,ASM227188v2_protein,,Solanaceae,Capsicum,,,baccatum,,cv. ,
Capsicum chinense cv. PI159236,Capsicum chinense,Habanero-type pepper,GCA_002271895.2,GCA_002271895.2,ASM227189v2_protein,,Solanaceae,Capsicum,,,chinense,,cv. PI159236,
Nicotiana attenuata strain UT,Nicotiana attenuata,Coyote tobacco,GCF_001879085.1,GCF_001879085.1 (https://solgenomics.net/ftp/genomes/Nicotiana_attenuata/),NIATTr2,https://doi.org/10.1073/pnas.1700073114,Solanaceae,Nicotiana,,Petunioides,attenuata,,strain UT,
Nicotiana benthamiana,Nicotiana benthamiana,benthi,,https://solgenomics.net/ftp/genomes/Nicotiana_benthamianaV261/Nbenthamiana_Annotation/,Niben261,,Solanaceae,Nicotiana,,,benthamiana,,,
Nicotiana benthamiana lab strain,Nicotiana benthamiana,benthi,Nbe_v1,https://nbenthamiana.jp/downloads,Nbe_v1,https://doi.org/10.1093/pcp/pcac168,Solanaceae,Nicotiana,,,benthamiana,,,
"Nicotiana sylvestris, USNGC TW136, PI555569",Nicotiana sylvestris,Wood tobacco,GCF_000393655.1,GCF_000393655.1,NSyl,https://doi.org/10.1186/gb-2013-14-6-r60,Solanaceae,Nicotiana,,Sylvestres,sylvestris,,,
Nicotiana tabacum cv. Basma Xanthi,Nicotiana tabacum,Common tobacco,,https://solgenomics.net/ftp/genomes/Nicotiana_tabacum/sierro_et_al_2014/annotation/,,https://doi.org/10.1038/ncomms4833,Solanaceae,Nicotiana,,,tabacum,,cv. Basma Xanthi,
Nicotiana tabacum cv. K326,Nicotiana tabacum,Common tobacco,GCA_002210045.1,https://solgenomics.net/ftp/genomes/Nicotiana_tabacum/edwards_et_al_2017/,,https://solgenomics.net/ftp/genomes/Nicotiana_tabacum/edwards_et_al_2017/,Solanaceae,Nicotiana,,,tabacum,,cv. K326,
Nicotiana tabacum cv. TN90,Nicotiana tabacum,Common tobacco,GCF_000715135.1,GCF_000715135.1,Ntab-TN90,https://doi.org/10.1038/ncomms4833,Solanaceae,Nicotiana,,Nicotiana,tabacum,,cv. TN90,
"Nicotiana tomentosiformis, USNGC TW142, PI555572",Nicotiana tomentosiformis,Wild tobacco,GCF_000390325.2,GCF_000390325.2,Ntom_v01,https://doi.org/10.1186/gb-2013-14-6-r60,Solanaceae,Nicotiana,,Tomentosae,tomentosiformis,,,
Physalis pruinosa,Physalis pruinosa,Groundcherry,PhyPru,https://solgenomics.net/ftp/genomes/Physalis_pruinosa/transcriptome/,PhyPru,,Solanaceae,Physalis,,,pruinosa,,,
Solanum americanum accession SP1102,Solanum americanum,Wild potato,SP1102,https://figshare.com/articles/dataset/The_Solanum_americanum_pangenome_and_effectoromics_reveal_new_resistance_genes_against_potato_late_blight/20454432,SP1102,,Solanaceae,Solanum,,,americanum,,,
Solanum americanum accession SP2271,Solanum americanum,Wild potato,SP2271,https://figshare.com/articles/dataset/The_Solanum_americanum_pangenome_and_effectoromics_reveal_new_resistance_genes_against_potato_late_blight/20454432,SP2271,,Solanaceae,Solanum,,,americanum,,,
Solanum americanum accession SP2273,Solanum americanum,Wild potato,SP2273,https://figshare.com/articles/dataset/The_Solanum_americanum_pangenome_and_effectoromics_reveal_new_resistance_genes_against_potato_late_blight/20454432,SP2273,,Solanaceae,Solanum,,,americanum,,,
Solanum americanum accession SP2275,Solanum americanum,Wild potato,SP2275,https://figshare.com/articles/dataset/The_Solanum_americanum_pangenome_and_effectoromics_reveal_new_resistance_genes_against_potato_late_blight/20454432,SP2275,,Solanaceae,Solanum,,,americanum,,,
Solanum andreanum accession PG3003,Solanum andreanum,Wild potato,PG3003,http://solomics.agis.org.cn/potato/species,PG3003,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,andreanum,,accession PG3003,
Solanum boliviense accession PG5076,Solanum boliviense,Wild potato,PG5076,http://solomics.agis.org.cn/potato/species,PG5076,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,boliviense,,accession PG5076,
Solanum brevicaule accession PG5032,Solanum brevicaule,Wild potato,PG5032,http://solomics.agis.org.cn/potato/species,PG5032,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,brevicaule,,accession PG5032,
Solanum buesii accession PG4041,Solanum buesii,Wild potato,PG4041,http://solomics.agis.org.cn/potato/species,PG4041,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,buesii,,accession PG4041,
Solanum bulbocastanum accession PG6241,Solanum bulbocastanum,Wild potato,PG6241,http://solomics.agis.org.cn/potato/species,PG6241,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,bulbocastanum,,accession PG6241,
Solanum burkartii accession PG4005,Solanum burkartii,Wild potato,PG4005,http://solomics.agis.org.cn/potato/species,PG4005,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,burkartii,,accession PG4005,
Solanum cajamarquense accession PG6242,Solanum cajamarquense,Wild potato,PG6242,http://solomics.agis.org.cn/potato/species,PG6242,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,cajamarquense,,accession PG6242,
Solanum candolleanum accession PG5003,Solanum candolleanum,Wild potato relative,PG5003,http://solomics.agis.org.cn/potato/species,PG5003,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,candolleanum,,accession PG5003,
Solanum candolleanum accession PG5018,Solanum candolleanum,Wild potato relative,PG5018,http://solomics.agis.org.cn/potato/species,PG5018,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,candolleanum,,accession PG5018,
Solanum candolleanum accession PG5062,Solanum candolleanum,Wild potato relative,PG5062,http://solomics.agis.org.cn/potato/species,PG5062,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,candolleanum,,accession PG5062,
Solanum candolleanum accession PG5068,Solanum candolleanum,Wild potato relative,PG5068,http://solomics.agis.org.cn/potato/species,PG5068,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,candolleanum,,accession PG5068,
Solanum chacoense accession PG4042,Solanum chacoense,Wild potato,PG4042,http://solomics.agis.org.cn/potato/species,PG4042,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,chacoense,,accession PG4042,
Solanum chomatophilum accession PG3005,Solanum chomatophilum,Wild potato,PG3005,http://solomics.agis.org.cn/potato/species,PG3005,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,chomatophilum,,accession PG3005,
Solanum commersonii accession PG4049,Solanum commersonii,Wild potato,PG4049,http://solomics.agis.org.cn/potato/species,PG4049,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,commersonii,,accession PG4049,
Solanum etuberosum accession PG0019,Solanum etuberosum,Wild potato relative,PG0019,http://solomics.agis.org.cn/potato/species,PG0019,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Etuberosum,etuberosum,,accession PG0019,
Solanum jamesii accession PG1008,Solanum jamesii,Wild potato,PG1008,http://solomics.agis.org.cn/potato/species,PG1008,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,jamesii,,accession PG1008,
Solanum lignicaule accession PG4017,Solanum lignicaule,Wild potato,PG4017,http://solomics.agis.org.cn/potato/species,PG4017,https://www.nature.com/articles/s41586-022-04822-x,Solanaceae,Solanum,Solanum sensu stricto,Petota,lignicaule,,accession PG4017,
Solanum lycopersicum cv. Ailsa Craig ,Solanum lycopersicum,Tomato,TS9,https://solgenomics.net/ftp/genomes/TGG/cds/,TS9,https://www.nature.com/articles/s41588-019-0410-2,Solanaceae,Solanum,Solanum sensu stricto,Lycopersicon,lycopersicum,,cv. Ailsa Craig ,
